f1,f2,f3,f4,f5
-0.7136,43.9184,0.3279,0.2002,0.0134
1.6248,26.3853,0.242,0.3901,-0.1214
0.1761,40.0557,0.0086,2.1367,-0.0019
1.359,56.8912,-1.9542,4.8096,0.0579
0.4035,49.5661,-1.901,4.3185,0.0422
-0.7816,53.8495,1.8581,1.3503,-0.0119
-1.6468,59.6097,3.3868,2.331,-0.0431
-1.3902,58.2267,-1.3656,3.7588,0.0447
-0.7855,52.0733,1.344,1.2086,0.0699
0.4843,46.8093,0.6253,0.0582,0.0422
0.4404,57.4652,4.3356,5.0147,0.0149
2.3967,67.5208,2.2614,3.8532,0.0309
0.478,40.9255,-0.1647,0.7061,0.0233
-0.5278,52.2353,3.3279,1.8399,0.0666
1.4848,58.1873,-0.1712,2.7736,0.0467
-0.3234,65.351,4.498,2.0132,0.0047
0.0857,50.5212,-2.2976,5.9353,0.0575
-0.2976,39.892,-4.3211,3.7377,-0.0329
-0.1355,46.1982,1.9435,6.6388,0.0266
-0.8402,83.6084,1.0048,2.7573,0.0658
0.5759,47.8272,1.5756,2.3329,0.0387
0.888,61.5843,2.1336,0.5476,0.0105
-1.9957,51.5638,4.2997,1.3426,-0.0484
-1.0547,60.8786,0.8832,2.2861,0.0609
1.084,72.1965,-4.3108,1.6623,0.0119
0.4022,34.7154,3.214,5.0517,-0.1625
-0.7342,53.9711,-2.6803,4.8276,-0.0403
2.2951,54.0852,-1.4917,6.814,-0.0532
-0.3527,54.3558,-3.5248,3.1088,0.0264
0.9612,47.2133,2.489,4.4846,-0.0774
-0.6979,47.7174,-2.2067,1.6816,-0.0173
0.1836,49.0257,-2.0757,5.3969,0.0019
-0.2553,52.2379,0.639,1.8487,-0.0196
0.9119,52.0774,-2.9367,3.4756,-0.0456
-1.2628,65.419,-2.8175,1.5921,-0.0218
-0.5051,47.6725,-4.2999,5.9816,0.0384
0.4462,50.1709,1.5636,2.4809,-0.0464
-1.1957,61.6654,-1.7787,0.3629,-0.0518
0.571,54.1668,-2.3577,1.1268,-0.0368
0.5631,50.7752,-3.7504,1.0361,0.0567
-0.7151,52.1446,4.9785,0.2784,0.0082
-0.1158,52.5614,-0.8955,2.6413,0.0324
1.3297,43.8541,-2.7688,4.2343,-0.0273
1.4787,39.5575,4.8348,0.1278,-0.0799
-0.9266,71.7842,2.1504,4.9835,-0.034
-1.2128,62.7237,-3.9247,0.4649,0.0093
0.3638,48.7858,-0.8173,0.3345,-0.053
1.6677,45.6779,4.4729,0.4645,0.0402
-0.8927,42.4527,1.2981,0.8208,-0.0126
-0.2009,43.6975,2.1685,0.4166,0.0238
-1.1545,60.852,0.4318,0.4032,-0.0157
1.036,55.5439,0.6558,0.0692,0.028
-0.4849,39.5669,-2.203,3.0441,0.0278
0.0187,41.6904,2.2459,2.7317,0.1161
1.4489,60.3306,-1.4607,0.1825,-0.0219
0.0498,47.2921,1.9216,8.023,0.0158
-0.6098,62.9114,-4.969,0.0025,0.0169
-1.1357,59.3378,-3.2345,3.3446,0.0167
-0.2032,63.1203,3.2915,2.7732,0.0296
-0.0303,44.4136,3.6351,0.0119,0.0154
0.1952,29.8649,-1.8232,0.1314,-0.0333
0.4258,51.9918,-1.1054,0.0871,0.0865
1.7199,39.3161,-1.2591,3.0624,-0.0049
0.1939,58.5667,4.3676,0.0695,-0.0912
0.035,44.7504,4.6491,0.2065,0.1152
0.9087,58.3063,-1.3942,3.2126,0.0293
2.9153,59.7711,-4.6517,0.0188,-0.0395
1.0708,38.2026,2.0769,0.0819,0.0362
-1.1219,48.4307,-0.1686,2.2965,-0.0252
1.1771,51.767,-1.8175,1.1287,0.0428
-1.9208,43.3078,-3.9892,0.7187,-0.0433
1.4351,62.5115,-3.18,10.6876,-0.0454
0.2706,51.076,3.503,1.2037,-0.0015
0.3851,38.3621,4.6953,0.8081,0.0505
-0.1775,60.6718,-3.1916,1.4635,0.0367
1.6004,45.3498,-1.2071,0.2488,-0.0283
-2.0084,51.3367,0.8985,0.1972,-0.0005
-0.0476,68.045,2.9121,2.8213,0.0083
0.8587,50.2457,-2.6135,5.9424,0.0128
1.4278,49.3865,-2.2296,0.1527,-0.0264
-0.204,39.8945,3.0064,1.6345,-0.0729
0.8274,51.8418,1.1916,2.7325,-0.0292
0.5743,63.4275,1.9714,2.4926,0.0244
