machine_type,runtime_hours,temperature,vibration,pressure,needs_service
lathe,1837.7,60.23,1.61,3.96,0
lathe,560.1,90.55,3.96,3.12,1
press,551.5,65.58,1.29,5.04,0
drill,968.6,71.6,2.87,4.3,0
lathe,2688.5,72.06,2.3,4.68,0
mill,1190.6,72.03,2.49,3.85,0
mill,2517.9,,1.54,3.7,0
drill,2262.6,63.22,,3.02,0
drill,3154.9,75.16,1.9,3.89,0
lathe,1495.3,,2.39,3.31,0
press,3555.0,69.93,1.39,5.4,0
press,948.4,68.01,1.5,3.78,0
mill,2499.1,65.23,2.41,2.84,0
lathe,1921.5,69.64,0.69,3.96,0
mill,595.6,64.04,2.38,4.17,0
mill,1996.9,64.89,0.96,4.17,0
drill,2190.0,65.09,1.95,4.6,0
mill,3595.1,,2.14,3.72,0
lathe,3324.6,64.69,1.67,4.25,0
press,1212.8,65.33,1.29,3.31,0
press,2156.1,64.29,1.53,3.93,0
lathe,625.3,70.43,1.76,4.06,0
mill,1062.5,91.45,3.75,1.94,1
lathe,840.7,55.44,1.47,3.88,0
lathe,3362.8,68.73,2.04,4.14,0
mill,1992.4,90.67,4.68,3.24,1
lathe,3992.1,67.02,1.47,3.78,0
lathe,3594.8,59.79,0.84,4.06,0
mill,1482.1,66.73,2.13,4.68,0
lathe,1435.6,65.73,2.01,4.29,0
mill,929.5,66.18,2.37,4.04,0
drill,2403.4,74.65,1.83,3.62,0
press,1869.0,,,2.34,1
mill,1600.6,82.19,4.86,,1
mill,3561.4,62.96,1.25,4.55,0
lathe,2067.2,100.5,3.9,2.13,1
mill,1059.1,67.23,1.38,4.68,0
lathe,1251.4,57.71,2.1,4.82,0
press,2707.3,61.9,1.17,2.91,0
drill,3904.7,57.79,1.86,3.05,0
mill,2310.1,81.27,4.82,3.11,1
drill,3743.1,76.57,2.0,4.88,0
drill,565.4,65.31,1.07,3.55,0
drill,417.6,59.8,1.9,4.4,0
lathe,3167.4,63.11,2.91,4.38,0
mill,1793.7,67.85,1.53,3.57,0
mill,2408.5,91.12,,3.06,1
drill,1251.8,60.93,2.51,5.55,0
lathe,2964.5,64.09,1.77,4.64,0
lathe,3051.4,62.76,2.06,3.89,0
mill,2135.2,67.57,,5.03,0
mill,2050.2,66.89,1.67,3.75,0
lathe,3480.3,65.63,2.08,3.09,0
mill,328.9,67.97,1.84,3.77,0
mill,3341.3,61.35,1.96,4.41,0
lathe,3723.8,62.24,1.89,4.65,0
press,972.6,65.38,2.08,4.29,0
drill,1705.3,68.25,1.62,4.52,0
lathe,3534.6,72.7,3.01,4.19,0
drill,921.7,97.91,3.8,2.0,1
drill,1988.1,64.83,2.04,2.63,0
lathe,1042.7,59.45,2.01,4.1,0
lathe,78.2,73.0,1.25,4.25,0
mill,649.4,65.37,1.91,4.17,0
lathe,2907.6,63.27,2.18,3.3,0
mill,1844.6,,1.55,4.12,0
lathe,3605.3,,1.0,3.63,0
mill,1788.0,64.27,,4.38,0
mill,2581.0,63.47,1.26,3.56,0
