area,rooms,age,dist_km,floors,rent
6.95,1.0,2.07,3.37,3.0,49.43
6.6,1.0,4.16,2.75,3.0,49.77
7.94,3.0,1.55,1.5,3.0,67.01
8.11,1.0,4.63,8.55,3.0,47.21
6.08,2.0,3.04,2.99,1.0,45.25
9.28,5.0,1.58,7.98,1.0,73.45
6.58,4.0,2.01,5.0,3.0,58.32
9.43,5.0,2.54,2.64,1.0,74.62
8.16,2.0,0.73,3.47,3.0,68.62
8.02,2.0,2.19,5.03,3.0,59.3
7.43,4.0,7.03,8.28,2.0,50.01
7.22,2.0,2.09,2.0,1.0,55.06
7.99,3.0,5.9,6.99,2.0,51.83
7.5,2.0,7.5,2.55,1.0,45.36
8.9,1.0,1.34,8.05,2.0,54.21
9.15,5.0,1.97,5.62,3.0,76.33
7.89,2.0,3.73,8.88,2.0,52.02
7.38,5.0,1.21,4.98,3.0,68.1
8.99,2.0,1.7,7.4,1.0,59.58
9.18,2.0,0.27,7.6,1.0,63.82
6.94,4.0,6.26,6.87,2.0,52.41
8.28,1.0,4.09,3.58,2.0,57.14
7.69,2.0,6.5,8.04,2.0,45.58
6.38,4.0,5.3,6.04,3.0,52.76
5.4,1.0,1.6,6.6,3.0,36.61
6.84,3.0,4.13,2.1,1.0,55.5
5.72,3.0,4.47,1.41,3.0,55.75
7.77,2.0,2.56,5.93,1.0,54.4
8.51,2.0,0.24,7.38,1.0,54.91
7.8,1.0,3.08,6.15,2.0,49.47
7.17,5.0,3.69,4.89,2.0,56.26
9.05,1.0,6.73,3.58,3.0,59.18
6.2,2.0,2.66,6.96,1.0,43.04
7.59,5.0,0.51,5.02,3.0,65.49
7.06,3.0,5.51,1.06,3.0,60.09
9.04,5.0,0.21,6.97,2.0,69.88
8.0,1.0,4.39,2.94,3.0,57.83
5.4,1.0,1.19,2.68,2.0,41.73
6.26,1.0,7.95,1.08,1.0,42.04
5.85,2.0,0.03,6.54,2.0,45.61
6.04,2.0,6.55,5.28,2.0,40.4
7.95,3.0,7.46,3.76,3.0,59.18
9.44,4.0,6.12,7.05,1.0,61.77
9.41,4.0,2.5,3.82,1.0,72.85
8.58,5.0,6.5,2.39,2.0,71.83
7.22,2.0,6.79,6.29,2.0,39.64
6.82,1.0,7.29,7.51,1.0,34.76
6.55,2.0,3.44,3.69,1.0,50.47
6.56,1.0,2.57,1.75,3.0,51.17
9.0,5.0,0.76,7.85,3.0,69.14
8.13,5.0,5.85,2.7,1.0,67.36
9.45,4.0,0.39,6.06,3.0,77.66
5.23,2.0,0.15,8.16,2.0,37.55
8.95,4.0,6.42,4.22,3.0,68.84
9.5,2.0,5.61,5.59,3.0,66.61
8.39,5.0,2.32,1.57,2.0,72.9
5.72,5.0,1.62,6.09,1.0,55.63
5.33,5.0,4.57,8.64,1.0,37.15
7.38,1.0,4.21,7.76,1.0,39.48
7.28,5.0,2.56,7.87,3.0,57.56
6.23,5.0,5.96,1.78,3.0,60.18
8.37,3.0,3.1,7.63,1.0,53.24
8.17,1.0,6.94,7.46,3.0,45.27
7.52,3.0,2.48,2.69,3.0,64.75
7.79,2.0,2.59,4.18,3.0,58.27
7.32,4.0,2.44,3.0,2.0,62.12
7.84,2.0,2.74,4.19,3.0,62.59
7.11,1.0,2.17,2.76,2.0,50.74
6.08,3.0,2.04,1.53,2.0,53.28
6.1,2.0,2.37,4.08,3.0,47.79
5.4,3.0,5.74,4.06,1.0,41.2
8.74,5.0,3.29,6.13,1.0,64.77
9.34,2.0,0.85,2.36,3.0,79.37
8.23,4.0,4.45,2.42,3.0,70.16
8.44,3.0,3.53,3.81,1.0,61.49
8.46,1.0,3.61,2.68,1.0,58.62
8.49,4.0,5.72,8.56,1.0,53.59
7.63,3.0,5.17,1.28,1.0,56.13
9.37,4.0,6.65,3.62,1.0,68.68
6.15,1.0,5.52,5.63,1.0,40.97
5.75,2.0,5.46,7.45,1.0,36.53
7.18,2.0,0.41,5.24,2.0,52.83
5.64,2.0,7.21,7.66,2.0,33.6
6.48,3.0,3.77,4.63,2.0,48.62
6.93,4.0,0.54,2.39,3.0,67.78
6.77,3.0,5.24,1.83,1.0,52.75
7.74,5.0,6.42,8.13,2.0,54.4
5.17,5.0,7.15,1.41,2.0,53.03
6.81,5.0,6.49,8.42,3.0,51.7
